,VARIEDAD,SEMANA,BROKER_OPTIMO,GANANCIA_VS_FF,CI_LO,CI_HI,DIRECCION
37,BLACK PEARL,14,NINGBO XIANFENG FRUIT TRADING,1.2125578883569688,0.41970837789164506,2.005407398356631,MEJOR
38,BLACK PEARL,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
39,BROOKS,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
40,BROOKS,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
41,BROOKS,5,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
42,BROOKS,6,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
43,BROOKS,7,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
44,BROOKS,8,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
45,BROOKS,9,SHENYANG QUPAI TRADING CO. LTD,1.118652760786361,-0.6246772004242416,2.861982721997162,INCIERTO
46,BROOKS,10,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
47,BROOKS,11,SHANGHAI IVCSUN INDUSTRIAL DEV,8.103221611119807,4.6490119275514985,11.5574312945717,MEJOR
48,BROOKS,12,SHANGHAI IVCSUN INDUSTRIAL DEV,3.4928263717920345,1.3429208052237702,5.64273193833847,MEJOR
49,BROOKS,13,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
50,BROOKS,14,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
51,BROOKS,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
52,CORAL,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
53,CORAL,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
54,CORAL,5,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
55,CORAL,6,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
56,CORAL,7,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
57,CORAL,8,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
58,CORAL,9,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
59,CORAL,10,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
60,CORAL,11,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
61,CORAL,12,SHANGHAI IVCSUN INDUSTRIAL DEV,3.921869445759512,2.963833927790126,4.879904963721621,MEJOR
62,CORAL,13,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
63,CORAL,14,"KINGO FRUITS CO., LTD.",0.3739818898466183,-0.2100910267767342,0.9580548065281783,INCIERTO
64,CORAL,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
65,GLEN RED,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
66,GLEN RED,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
67,GLEN RED,5,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
68,GLEN RED,6,SHANGHAI IVCSUN INDUSTRIAL DEV,1.0377831170341807,-2.6733124280176157,4.74887866208609,INCIERTO
