BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION
SHOUYANG FRUIT,XLD,15,179.33535137704166,-857.0445434189251,1215.7152462039019,14985,6,INCIERTO
SHOUYANG FRUIT,XLDD,3,0.9421386270140153,0.6010133943043254,1.2832638597238437,14985,6,MEJOR
SHOUYANG FRUIT,XLDD,4,0.06261695121500033,-0.08172051164405611,0.20695441407408513,14985,6,INCIERTO
SHOUYANG FRUIT,XLDD,5,0.03763717439046843,-0.019239466498056475,0.09451381527902175,14985,6,INCIERTO
SHOUYANG FRUIT,XLDD,6,0.056260954512536585,-0.14539247610992506,0.2579143851349997,14985,6,INCIERTO
SHOUYANG FRUIT,XLDD,7,-0.4135796775609819,-0.47051414754839643,-0.3566452075735639,14985,6,PEOR
SHOUYANG FRUIT,XLDD,8,-0.15644219426915207,-0.2416298126343036,-0.0712545759040041,14985,6,PEOR
SHOUYANG FRUIT,XLDD,9,-0.40544387629889966,-0.6052727422597729,-0.20561501033802873,14985,6,PEOR
SHOUYANG FRUIT,XLDD,10,41.21090846874786,16.94773529521384,65.47408164228183,14985,6,MEJOR
SHOUYANG FRUIT,XLDD,11,-0.054171154279783584,-0.17416699339889963,0.0658246848379522,14985,6,INCIERTO
SHOUYANG FRUIT,XLDD,12,1.3802518386239342,0.7435451905688474,2.0169584866788504,14985,6,MEJOR
SHOUYANG FRUIT,XLDD,13,1.5658729132273947,1.0924134914783585,2.039332334974612,14985,6,MEJOR
SHOUYANG FRUIT,XLDD,14,-175.15088456464173,-259.25255394353326,-91.04921518545693,14985,6,PEOR
SHOUYANG FRUIT,XLDD,15,-28.799790007347838,-43.79446176486471,-13.805118248585877,14985,6,PEOR
SHOUYANG FRUIT,4JD,3,-0.43285795612858635,-1.2570979470193768,0.39138203476132294,14985,6,INCIERTO
SHOUYANG FRUIT,4JD,4,-0.006832064037025631,-0.3612472337328798,0.3475831056588307,14985,6,INCIERTO
SHOUYANG FRUIT,4JD,5,-0.5835965120765678,-0.8594874762501148,-0.30770554790302623,14985,6,PEOR
SHOUYANG FRUIT,4JD,6,-0.06910511847922507,-0.20405034903720212,0.06584011207875107,14985,6,INCIERTO
SHOUYANG FRUIT,4JD,7,0.35581559231575133,0.2871968159636021,0.4244343686679041,14985,6,MEJOR
SHOUYANG FRUIT,4JD,8,0.8321198696472671,0.5584803352242029,1.1057594040703314,14985,6,MEJOR
SHOUYANG FRUIT,4JD,9,0.4306709698106532,0.22041020711256434,0.6409317325087527,14985,6,MEJOR
SHOUYANG FRUIT,4JD,10,-0.934523708985008,-1.2591869059078975,-0.6098605120621098,14985,6,PEOR
SHOUYANG FRUIT,4JD,11,0.10556652470215644,-0.19146614910887044,0.40259919851318504,14985,6,INCIERTO
SHOUYANG FRUIT,4JD,12,1.1783049881318117,1.0462053143457686,1.3104046619178973,14985,6,MEJOR
SHOUYANG FRUIT,4JD,13,1.9893476153879988,0.821335912115635,3.157359318660249,14985,6,MEJOR
SHOUYANG FRUIT,4JD,14,1.0629467222921116,0.8533924041764873,1.2725010404077421,14985,6,MEJOR
SHOUYANG FRUIT,4JD,15,179.31768107524113,115.25700160442592,243.37836054712952,14985,6,MEJOR
SHOUYANG FRUIT,3JDD,3,0.9390612206407241,0.7041046327533024,1.1740178085863533,14985,6,MEJOR
SHOUYANG FRUIT,3JDD,4,-0.5158579284413235,-0.9889145841674671,-0.04280127271517692,14985,6,PEOR
SHOUYANG FRUIT,3JDD,5,-0.25737941892956684,-0.49519859533825344,-0.019560242520885618,14985,6,PEOR
